Index | Bit-true Hex Real | Bit-true Hex Imag | Int Real | Int Imag
 165  | FFC1             | FFC8             |    -63   |    -56
 166  | FFE0             | FFFA             |    -32   |     -6
 167  | 0037             | FFAC             |     55   |    -84
 168  | 0034             | 0088             |     52   |    136
 169  | FF89             | 000C             |   -119   |     12
 170  | FFFF             | FFFF             |     -1   |     -1
 171  | FFDE             | 0019             |    -34   |     25
 172  | FFD2             | 0021             |    -46   |     33
 173  | FFCB             | 0006             |    -53   |      6
 174  | FFDC             | 0012             |    -36   |     18
 175  | FFBB             | 000C             |    -69   |     12
 176  | FFDA             | 002E             |    -38   |     46
 177  | FF7D             | 0004             |   -131   |      4
 178  | FF41             | FFC2             |   -191   |    -62
 179  | 0056             | FF2E             |     86   |   -210
 180  | FFFF             | 0027             |     -1   |     39
 181  | 000F             | FFFF             |     15   |     -1
 182  | FFE0             | FFDA             |    -32   |    -38
 183  | 0000             | 000F             |      0   |     15
 184  | FFF6             | FFE3             |    -10   |    -29
 185  | 000F             | 0030             |     15   |     48
 186  | FFAB             | 000F             |    -85   |     15
 187  | FFF0             | FFCA             |    -16   |    -54
 188  | FFF9             | 001D             |     -7   |     29
 189  | FFE1             | FFE3             |    -31   |    -29
 190  | 0014             | 0023             |     20   |     35
 191  | FF9E             | 0016             |    -98   |     22
 192  | FFF4             | FFD3             |    -12   |    -45
 193  | FFD5             | FFF7             |    -43   |     -9
 194  | 0017             | FFE6             |     23   |    -26
 195  | FFEF             | 0034             |    -17   |     52
 196  | FFB1             | FFF1             |    -79   |    -15
 197  | FFF5             | 0000             |    -11   |      0
 198  | FFC8             | FFD4             |    -56   |    -44
 199  | FFE4             | 0004             |    -28   |      4
 200  | FFDE             | FFD9             |    -34   |    -39
 201  | FFD2             | FF66             |    -46   |   -154
 202  | 00D2             | 0036             |    210   |     54
 203  | FFB1             | 002F             |    -79   |     47
 204  | 0009             | 0024             |      9   |     36
 205  | FFE3             | 0006             |    -29   |      6
 206  | FFF3             | 000A             |    -13   |     10
 207  | FFE7             | 0017             |    -25   |     23
 208  | FFE8             | FFF4             |    -24   |    -12
 209  | FFFD             | 0021             |     -3   |     33
 210  | FFD0             | FFF6             |    -48   |    -10
 211  | FFFE             | 000D             |     -2   |     13
 212  | FFE7             | 0003             |    -25   |      3
 213  | FFEF             | 000A             |    -17   |     10
 214  | FFDE             | 0008             |    -34   |      8
 215  | FFF1             | 000D             |    -15   |     13
 216  | FFD7             | FFEF             |    -41   |    -17
 217  | FFEC             | 0005             |    -20   |      5
 218  | 0011             | FFDD             |     17   |    -35
 219  | 0001             | 0040             |      1   |     64
 220  | FFCC             | 000A             |    -52   |     10
 221  | FFF4             | 000B             |    -12   |     11
 222  | FFDD             | 0001             |    -35   |      1
 223  | FFE5             | 000C             |    -27   |     12
 224  | FFEB             | 0004             |    -21   |      4
 225  | FFF6             | 0015             |    -10   |     21
 226  | FFC7             | 0005             |    -57   |      5
 227  | FFF2             | 0015             |    -14   |     21
 228  | FFD1             | 0006             |    -47   |      6
 229  | FFD1             | FFF3             |    -47   |    -13
 230  | FFF1             | 0006             |    -15   |      6
 231  | FFE4             | FFFF             |    -28   |     -1
 232  | FFD8             | FFFE             |    -40   |     -2
 233  | FFE8             | 0005             |    -24   |      5
 234  | FFEB             | 0000             |    -21   |      0
 235  | FFCF             | 000D             |    -49   |     13
 236  | FFD0             | FFF6             |    -48   |    -10
 237  | FFE2             | FFEB             |    -30   |    -21
 238  | FFE1             | FFEB             |    -31   |    -21
 239  | FFEC             | FFED             |    -20   |    -19
 240  | FFF3             | FFF5             |    -13   |    -11
 241  | 0001             | FFF8             |      1   |     -8
 242  | FFDC             | 000C             |    -36   |     12
 243  | FFFF             | FFF1             |     -1   |    -15
 244  | FFDC             | 0014             |    -36   |     20
 245  | FFEB             | FFF7             |    -21   |     -9
 246  | FFDB             | FFFC             |    -37   |     -4
 247  | FFDE             | 0000             |    -34   |      0
 248  | FFEE             | FFD3             |    -18   |    -45
 249  | FFF9             | 0016             |     -7   |     22
 250  | FFE7             | FFE9             |    -25   |    -23
 251  | FFEA             | 0005             |    -22   |      5
 252  | FFE9             | FFFB             |    -23   |     -5
 253  | FFE4             | FFE5             |    -28   |    -27
 254  | 0009             | FFF3             |      9   |    -13
 255  | FFEB             | 0005             |    -21   |      5
 256  | FFFF             | FFFA             |     -1   |     -6
 257  | FFF1             | 000A             |    -15   |     10
 258  | FFE3             | FFFA             |    -29   |     -6
 259  | FFF8             | 0005             |     -8   |      5
 260  | FFEE             | FFF8             |    -18   |     -8
 261  | FFEA             | 0001             |    -22   |      1
 262  | FFF0             | FFFF             |    -16   |     -1
 263  | FFEE             | FFFF             |    -18   |     -1
